Group,Review
G0,persona die grundzüge personas ersichtlich sie unterscheiden stark gibt gute fundierung produktden service die einzelnen erklärungen persona ausführlich beschrieben vergleichend beschreiben mir fällt auf z t sinnvoll wäre ergänzungen vergleich auszuführen auch punkte generell nachfolgend schildere beispiele personalität brands erweitern klareres bild persona bekommen gibt mehr brands job ernährung herausgehen personalität detaillierter vergleichbarer werden beide gleichen skalen zuordnen werte verschieben user journey die ganzheitliche user journey meinung unvollständig durchdacht du hast viele value gaps gefunden gut finde wie jedoch sein bezahlen aktuellen journey dabei ist sind werkzeuge gratis in mitte müsstest titel einfügen ich frage mich beispielsweise werkzeug zurücksenden value gap ist verglichen werkzeug zurückbringen beschreibt user journey bereits plattform beschreibt user journey physischen verleihprozess daher stolpere z t einzelnen punkten oben erläutert wollen zwei unterschiedlichen personas unterschiedliche dinge detailansicht aktivitäten die struktur oft klar beachtet beschrieben soll diese folgt umschreiben arthur macht xx xx die beschreibungen istsituation deshalb möchte anwenden ja machttut vpc die vpc sicht ebenfalls teilweise richtig verstanden worden der customer job beispielsweise ja nur passendes werkzeug benützen besitzen müssen die dinge nebenprozesse die gains pains beschreiben bereits potenzielle plattform beschrieben wurde lösungsvorschlag aktuellen pg beschreiben physischen verleihprozess entstehen damit späteren business model angewendet können pitchbusiness model die einleitung pitch verständlich klar aktuelle need emerging trends logisch ersichtlich der explizite mehrwert data science analyse macht sicht sinn daten erhoben können diese methode jedoch beschrieben wie daten gewonnen usern werkzeuge basis bedürfnisse anzubieten profit mechanismus für potenziellen investor wenig ersichtlich wieviel umsatz generiert kann wie unternehmen profitabel lösungsansatz noch detaillierter kostenpunkte umsatzquellen z b subscription fee eingehen wer counterpart kunden plattform sind businesses privatpersonen hier zusätzliche beschreibung wertvoll geschäft richtig verstehen können
G0,stärken lösung die personas gut gewählt wurden sinnvolle attribute integriert die pain points gain creators scheinen realistisch nachvollziehbar schwächen lösung behebungsvorschläge die user journey verständlich klar prozess abdecken soll es jedoch verständlich klassische aktivität bereits abgedeckt wird klassische user activities sind bereits neuen acitivites solution angegangen werden dies zwei unterschiedliche aktivitäten trennen würde die aktivitäten user journey detailliert es z t zielewünsche beschrieben oft verwendeten worten möchte bei beschreibung sollten meinung aktivitäten istzustand beschrieben werden gewisse information generell z b vielleicht fällt geld herunter da user handelt mehr spezifisch aktivität bleiben ich sicher aktivitäten richtigen phasen sind die aktivität schlage bar wirklich aktivität diese sollten präziser bewertet anstehen schlange getränk bestellen können bei detailansichten user journey aussagen personas einzelnen aktivitäten fehlt teil weil xxx dass aktivität ausgeführt wird bereits schon gut beschrieben das warum deutlicher ergänzt werden mehrwert aktivität erhalten profit mechanismus für potenziellen investor wenig ersichtlich wieviel umsatz generiert kann wie unternehmen profitabel lösungsansatz noch detaillierter kostenpunkte umsatzquellen eingehen informelle frage fehlt servicepersonal z b marlene danach teil lohnes trinkgeld informelle frage dürfen getränke club einfach ausgabefläche gestellt diebstahl k o tropfen etc heikles thema fokus überarbeitung argumente klarer begründen mehrere argumente ungenügend begründet zudem selbsterklärend warum führt lösung zwingend mehrwert zielgruppe bereits zahlen fokus funktionalität es geschäftsmodell plattform business handeln diese zentralen eigenschaften ausformuliert werden was bietet neue lösung konkret entstehung pains gains stringenter formulieren
G0,stärken lösung die personas gut gewählt wurden sinnvolle attribute integriert die pain points gain creators scheinen realistisch nachvollziehbar die detaillierte user journey zeigt prozess verstanden wurde stringentes vorgehen pain points reduziert gain creators integriert schwächen lösung behebungsvorschläge die aktivitäten user journey detailliert es z t zielewünsche beschrieben ersten aktivität wunsch xx bei beschreibung sollten meinung aktivitäten istzustand beschrieben werden gewisse information spezifisch inkl beispielen allergien da generelle user handelt mehr highlevel bleiben die value gaps z t fehlende informationen features app z b übersicht konsumierte produkte ist wirklich schritt user journey mehr richtung entwickeln user info macht info ist ich sicher aktivität postphase duringphase gehört app ja verwendet information diese frage stellt letzte aktivität prephase bei detailansichten user journey aussagen personas einzelnen aktivitäten fehlt teil weil xxx dass aktivität ausgeführt wird bereits schon gut beschrieben das warum deutlicher ergänzt werden mehrwert aktivität erhalten unklare zielgruppendefinition ich sehe ganz wer zielgruppe neue app gilt sind bestehend user app mehr features wollenbrauchen eine allgemeinere zielgruppendefinition sicht sinnvoll profit mechanismus für potenziellen investor wenig ersichtlich wieviel umsatz generiert kann wie unternehmen profitabel lösungsansatz noch detaillierter kostenpunkte umsatzquellen z b subscription fee eingehen datenmanagement was passiert kundinnendaten können verkauft werden welche interessen unternehmen produktinformationen detaillierter aufzulisten lösungsansatz kann sinnvoll sein part monetarisieren fokus überarbeitung argumente klarer begründen mehrere argumente ungenügend begründet zudem selbsterklärend warum führt lösung zwingend mehrtwert zielgruppe bereits zahlen fokus funktionalität es geschäftsmodell plattform business handeln diese zentralen eigenschaften ausformuliert werden
G0,hello there hoffe feedback weiterentwicklung idee hilfreich allgemein personas ich finde auswahl beschreibung personas gelungen ich konnte personas wirklich vorstellen bei motivationen gefragt abstrakter sollten dies solltest nochmals anschauen siehe garyfox cocreatepersonaguidewhatarepersonamotivations comuxbloguserpersona ich finde stress tolerance passend eigenschaft geschäftsmodell relevanz sehe deshalb könntest entweder dimension wählen einfach weglassen eine alternative z b anpassungsfähigkeit anpassungsfähigkeit personas beide offen sind verpackungsarten überdenken bei personalität vorstellen nachhaltigkeitsaspekt besser gewissenhaftigkeit idee passt ist meinung spezifischer besser geeignet dies könntest nochmals anschauen ich weiss inwiefern kompetenzen rentabilitätsberechnung relevant biofinal sind muss jemand idee verstehen will wissen falls nein könntest skill nochmals überdenken die beiden skills finde passend persona ich verstehe frustrationen genau mittel meinst ist gemeint lösung problem existiert falls ja könntest einfach schreiben findet lösung verpackungsproblem falls finanzielle mittel gemeint sind solltest spezifizieren bei alessia steht tech skills jorge steht einfach skill solltest anpassen witziges detail liebe alessia dg trägt persona ich persona gut vorstellen passt so user journey pre finde verständlich beschrieben ich erkenne ziele frustrationen personas value gaps widerspiegeln during hast meinung verständlich beschrieben habe mehr ergänzen post verstehe unterschied automatic packaging supply refill customer protection würde allenfalls umformulieren besser differenzieren verstehe funktion flexible but restricted contract negotiations nicht könntest ausführlicher ausformulieren was meinst market monitoring könntest kurz erklären vpc auf rechten seite beim customer profile wissens idee erwähnt werden vielmehr beschrieben werden personas allgemein erledigt bzw erledigen aktuellen gains pains ohne idee begegnen dies solltest anpassen auf linken seite value map erklärt werden service gains schafft pains behebt natürlich beispielsweise pain relievers pains bevor idee existiert bezug haben im besten fall löst ja service pains personas erledigung customer jobs begegnen deshalb solltest beispielsweise customer jobs ein konto biofinalapp eröffnen customer job betrachten da gemäss user journey idee smart contracts gibt wäre pain customers aktuell eben smart contract gibt ich hoffe verstehst feedback meine mir youtube video geholfen youtube comwatchv=remuqmvfp aber seite erklärt verständlich deblogvaluepropositioncanvas argumentativer pitch ich finde könntest mehr herausheben wieso beide seiten verbunden müssen welchen herausforderungen problemen unternehmen angebots nachfrageseitig ausgestellt miteinander connecten können zudem solltest coolen service ausführlicher beschreiben direkt versteht service herausforderungen probleme löst damit pitch anfang leserschaft neugierig macht solltest attraktiveren einstieg schreiben beispiel wir wissen plastikverpackungen angesichts unserer klimakrise zeitgemäss allgemeiner eindruck anhand ausführlichkeit inhalte idee gut vorstellen an personas könntest wenig arbeiten den pitch könntest allgemein weniger spannender gestalten
G0,hello there voll idee begeistert ich hoffe feedback weiterentwicklung idee hilfreich allgemein personas du könntest überlegen inwiefern beziehungsstatus idee entscheidend ist ich sehe relevanz dahinter du könntest überlegen darauf einzugehen oft sportveranstaltungen schauen fernseh live streamen etc du solltest personalität dimensionen wählen beiden personas besser vergleichen kann emotional passt beispiel beiden gut dies könntest zweiten persona übernehmen eine weitere dimension personalität nachhaltigkeit sein nachhaltig vs verschwenderisch den ethischen aspekt könntest dimension überlegen persona ein weiteres ziel luca keller sein veranstalter sportevents nachhaltigkeit ethik einsetzen inwiefern niederlage schweizer nati frustration ist sei dahingestellt du solltest frustration hinschreiben idee passt bzw idee löst persona du solltest meinung persona wählen berühmt ist du könntest beispiel frau nehmen sport interessiert so könntest breitere zielgruppe abdecken user journey ich finde user journey kreativ ich user journey real live vorstellen pre wo gehört sich auftragsort informieren hin dies solltest user journey einbetten du könntest ethikkompensationsbetrag pre activity nehmen so schaffst bessere struktur user journey during phase aktivitäten gehören events geschehen during zusätzliches feature in pause halbzeiten könntest ticker einführen zeigen bereits sport event gespendet wurde kann spenden match live schauen geht du solltest use case erwähnen zusätzliches feature am ende matchs nochmals gezeigt werden insgesamt spiel gespendet wurde so schaffst mehr transparenz post du solltest konkreter belohnungsart eingehen dies könntest gezielter anreiz spenden verkaufen mich stört wort profitieren user journey du könntest weniger opportunistisch formulieren zurückerhalteneine gegenleistung erhalteneine belohnung erhalten zusätzliches feature du solltest überlegen users nächsten match bereits empfehlungen basierend history bekommen das convenience app erhöhen vpc ohne service erhalte prämien art kompensation natürlicher customer job deshalb wäre eher pain eben prämien erhalte könntest gain creator nehmen falls irrelevantes bedürfnis usern siehst ein pain fehlende wissen umstände austragungsort dies solltest pain relievern lösen angibst partie übertragen umständen menschen stadion erbaut haben products services finde gut beschrieben falls inspiration brauchst vpc ausbauen könntest deblogvaluepropositioncanvas argumentativer pitch ich finde pitch spannend formuliert ich anfang neugierig mehr lesen du solltest jedoch mehr transparenz spenden eingehen ich einziges option ergänzen sieht geld investiert wurde weit projekts aktuell steht die transparenz spendenservices immer entscheidend je transparenter umso attraktiver users
G0,hello there voll idee begeistert ich hoffe feedback weiterentwicklung idee hilfreich allgemein personas dadurch beide personas dimensionen verwendet hast personas bezug eigenschaften gut vorstellen gut vergleichen damit personas besser vorstellen kann könntest bilder menschen einfügen so besser vorstellen persona service nutzen würde die auswahl brands gibt gutes bild kaufverhalten einzelnen personas ich gefragt inwiefern noah ruhiger typ ist skitouren schon abenteuerliches sind die ausprägung eigenschaft könntest nochmals überlegen das gegenteil ruhe beispielsweise nervosität aufgeregtheit du könntest personalität erfahrungsgrad nehmen alternativ könntest beschreiben organisiert sind also durchplanen spontane aktionen wagen user journey ich finde user journey verständlich beschrieben erkenne dabei frustrationen personas dienstleistungen gelöst werden ich finde hilfreich immer beiden perspektiven acivity bzw value gap geschrieben hast du solltest coolen app namen geben so bessere verbindung service ist inspiration snowangel vorstellen ich verstehe zusammenhang lvs plattform ganz ich gefragt eigentliche service einfach plattform ist ratschläge gerät tour gefahren liefert touringcommunity austauschen kann du könntest überlegen lvs produkt anzusehen plattform beste aktuellen lage macht pre ich erkenne personas deshalb finde beschreibung äusserst zutreffend zusätzlicher value gap sein plattform sowohl geräte empfohlen gefahren hingewiesen wird also dienstleistung rund touringerlebnis im prinzip würdest dadurch touchpoints verringern user skitour durchlaufen muss auf app theoretisch mögliche rund touringerlebnis mitgeteilt verfügung gestellt werden angeboten etc during du könntest überlegen professionelle bergsteiger dienstleistung bergführer anbieten plattform gebucht können so könntest gezielt professionelles knowhow app einbinden post ich finde learningcommunity ansatz gut gelungen ich leider schritt gefahren per social media teilen ganz verstanden können gefahren sowohl appcommunity appcommunity hinweg geteilt werden falls ja verstanden finde cool vpc ich finde vpc gut strukturiert die positionierung einzelnen aussagen finde insgesamt passend dadurch versteht auch idee hergeleitet wurde ich finde gut viele punkte aufgeschrieben hast dadurch nachvollziehen worum idee geht customer jobs ich verstehe ganz wieso ökologisch sein customer job ist dies könntest ausführlicher ausformulieren besteht aktuell möglichkeit also idee community auszutauschen falls nicht wäre aktuell pain users austauschen können als pain reliever stehen community austauschen kann sich community auszutauschen customer job sein routenplanung macht das solltest anpassen elevator pitch ich finde hebst relevanz app gut heraus um neugier bereits anfang wecken solltest frechen einstieg schreiben ein beispiel sicherheit geniesst skitouren höchste priorität es gibt riesiges verbesserungspotenzial wir wissen alle daten extrem wichtig wichtiger deren nutzenstiftende auswertung beim bergsteigen zurzeit extrem viele daten sicherheit generiert ausgewertet verschwenden opportunität danach könntest idee eingehen ist inspiration gedacht
G0,persona + der gamer gefällt bild ja mal klasse diese persona passt use case ich finde persona zwei ps passt > ziemlich feld fall angepasst werden bei personalität hättest kreativer können online welt vs physische welt einfach besser charaktereigenschaft übersetzt user journey ich zwei value gaps nachvollziehen muss sagen niemals ps xbox gezockt habe die phasen pre during leider gar nachvollziehen verstehe nicht genau passiert ausser neuer oder alter controller erworben sollte + ansonsten finde detailansicht gut verständlich vpc pitch + die plattform matcht ersten value gap der elevator pitch hat meinung nach praktisch zusammenhang user journey vpc wie steht neuen controller überein du schreibst oft konjunktiv gegenüber investor möchtest überzeugen der konjunktiv lässt extrem unsicher wirken wie heisst plattform
G0,persona + beide personas gefallen sehr es klare richtung sehen gut vorstellen + motivationen frustrationen sowie biographie originell bei personalität wären zwei dimension vorteilhaft user journey keine user journey vielleicht finalen version rausgelöscht daher schwer feedback geben weder traditional activities value gaps betitelt sind vpc pitch + den pitch finde super zudem idee armonia gut bietet tatsächlichen nutzen nutzer leider schwer detailliertes feedback geben userjourney enthalten ist verstehe nicht weshalb armonia insbesondere gebieten drastische wohnungsknappheit besteht nützlich ist > dies überarbeiten warum generelle handwerker reinigungskräfte plattform integriert werden
G0,ich finde idee erstellung plattform sportpark gut gewählt besonders communityfunktion wäre persönlich interessiert folgend feedback einzelnen teilen abgabe personas die wahl beiden personas hast meinung gut getroffen trotz starken interessen sportlicher aktivität motivation persönlichkeit genug unterscheiden relevante use cases darzustellen mir aufgefallen alex zweite frustration zweiten ziel deckt vielleicht könntest frustration umformulieren wiederholungen vermeiden ein beispiel sein findet schwierig externen anstoss neue freunde finden dies nochmal introversion hinweisen auch louisas biographie könntest beispielsweise charaktereigenschaften beschreiben beispielen anreichern anstatt frustrationen wiederholen somit könntest person bisschen definieren user journey die verschiedenen schritte entlang user journey finde plausibel gut gewählt die einteilung value gaps traditional activities hätte vorgenommen beim punkt ziele setzen gefragt during vielleicht pre eingeordnet könnte je sportart ziel lohnt ja auch trainingspläne aufzustellen vornherein definiert werden die punkte trainingsplan ziele session könnten sogar getrennt aufgeführt werden plattform beim langfristigen planen sowie tageszielen unterstützen kann alex persönlichkeitsbeschreibung ja naturverbunden dies könntest user journey zusätzlich aufgreifen beispielsweise punkt pre gewünschte sportart wählen during sport ausführen value proposition canvas ich finde unterteilung customer jobs functional social emotional hilfreich die gains pains meinung abdeckend ausformuliert bei pains spontan eingefallen louises wunsch anweisungen aufwärmübungen durchführung neuen sports eingehen könntest zum beispiel einstiegsschwierigkeiten neue sportarten empfundenen mangel wissen vielleicht weniger umständlich formuliert um verbindung gains gain creators pains pain relievers verstärken könntest punkte einzeln aufführen beispielsweise nummerieren klar ist gc pr spezifischen customer needs ansprechen somit könntest antwort gain freundschaften schliessen pflegen gain creators punkt austauschmöglichkeiten beispielsweise gruppenaktivitäten fördern hinzufügen direkt darauf antworten elevator pitch für elevator pitch wirklich gut geschrieben mir klar neue plattform abdeckt gründen infrastrukturen angebot park eingerichtet zielgruppe angesprochen wird mein einziger verbesserungsvorschlag wäre es ersten satz zweiten abschnitt über community plattform sollen auseinander nehmen leichter lesen ist beim durchlesen paar tippfehler aufgefallen wie persona oben rechts naturverbunden louiseuser story folie oben rechts falls weitere sollte findest sicher beim überarbeiten
G0,ich finde idee app verbindung bauern einkäufern kreativ hilfreich nachfolgend unterkapitel rückmeldungen festgehalten zuerst grundsätzliche überlegung so projekt verstanden habe fungiert jürg sowohl anbieter app user deshalb persona user user journey dies führt beispielsweise gestaltung user journey verwirrung kunde anbieter lebensmittel ja abläufe haben so prephase aktivitäten patricia aufgeführt beispielsweise wahl nachhaltigsten saatgutes jürg vielleicht könntest anstelle jürg zweiten kunden beschreiben jürg anbieterseite differenzierter diskutieren können unterschiedlichen anforderungen gerecht muss eine idee wäre app produkt fiktiven bauernvereinigung umzuschreiben somit wären patricia jürg beide kunden plattform user journey einkauf bauernmarkt austausch käufer anbieter bauernmarkt angepasst werden personas ich finde hast beide personas ausführlich beschrieben besonders gut gefallen persönlichkeitsmerkmale abgrenzung beider personen gewählt hast gut sustainabilitythematik passen bei motivationen könntest ebenfalls balken einfügen wie tech skills anzuzeigen deren abstufung wichtigkeit personen aussehen dies weiteren abgrenzung beitragen noch ganz kleines detail im zitat patricia hast geschrieben bauernmarkt freitag stattfindet in biographie jürg steht allerdings jeweils dienstags samstags ist dies könntest vielleicht vereinheitlichen user journey ich finde einteilung gewählten schritte pre during post passend dargestellt die farbliche abtrennung grau kundenstories detailansichten unterschied anbieter weiss gefallen übersicht stark vereinfacht dies könntest user storys durchziehen nachdem patricia persona gut beschrieben hast könntest user storys ausnutzen anstatt als kunde möchte ich schreibst als patricia möchte ich somit klar konkrete user story personas patricia zutreffen könnten ja kunden gründe haben weshalb bauernmarkt einkaufen während duringphase hast beratung verkäuferin value gap identifiziert nach eigenen erfahrung findet traditionell bauernmärkten bereits statt stand steht fragen produkten stellt dies könntest vielleicht umändern value proposition canvas im vpc hast viele gains pains customerseite identifiziert inhaltlich gut persona patricia user story abgestimmt finde ebenfalls gut bearbeitet finde direkte verbindung gains pains gain creators pain relievers somit sichergestellt neue produkt abgedeckt werden bei products services erwähnst letzten punkt bestellung hause bisher bedürfnis personas user story herausgelesen wodurch punkt losgelöst rest inhalte wirkt bei patricia schreibst explizit marktbesuch kindern ritual ist weshalb angebot vielleicht nutzen würde in einleitung ideenanstoss geschrieben weitere kundenpersona erstellen könntest diese ja beispielsweise lokale bauern unterstützen wollen beschäftigt sein markt gehen somit persona homelieferung profitieren elevator pitch ich finde hast pitch vielen vorteile neuen app gut aufgezeigt zudem verbindet explizite erwähnung jürg pitch rest slides lässt vorhaben persönlicher deshalb nahbarer wirken eventuell könntest patricia explizit text einbauen beispiel kundin beim durchlesen paar grammatikfehler aufgefallen sowie wortwiederholungen worauf überarbeitung nochmal genauer achten könntest ein beispiel wäre slide links unten als kunde möchte möchte zwischen vielfältigen bezahlungsmethoden auswählen können
