,username,group,review,time,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Submitted at
0,101.0,G1,"Kritik und Verbesserungsvorschläge: 1. Der Name der App ist sehr originell wenn man es im Sinne eines Wortspieles von ""Alp-US"" = ""Help-US"" versteht. Jedoch finde ich den Namen sonst eher nichts aussagend und nicht wirklich prägend, würde ich eventuell noch einmal überdenken und gegeben falls ändern. 2. So wie ich das verstanden habe, ist es möglich für die verschiedenen Unternehmen (Hotels, Restaurants, etc.), welche auf der App ihre Dienstleistungen anbieten, auch Werbung in der App zu schalten. Einerseits möge dass gut für das jeweilige Unternehmen sein, jedoch reagieren Kunden oft negativ auf ""In-app Werbungen"". Hier würde ich auch nochmal überdenken ob man wirklich noch Werbung zusätzlich schalten will, da die Angebote in der App ja sozusagen schon als Werbung dienen. 3. Des weiteren finde ich dass es nicht zwingend Pflicht sein sollte sich zu registrieren. Der Gruppen-admin sollte sich natürlich registrieren müssen, es sollte jedoch auch möglich sein dem Einladungslink nur als Gast zu folgen. Das wäre flexibler und einfacher. 4. Die App wäre auch noch gut ergänz bar durch eine Website, nicht jeder hat gerne Apps oder ein Handy dass über diese Kapazität verfügt. Eine Website würde es noch mehr potentiellen Kunden möglich machen, dieses Angebot zu nutzen und den Markt zu erweitern! 5. Möglicherweise kann man dieses Konzept noch ausweiten und nicht nur zwingend auf Skiurlaube begrenzen sondern generell auch Winterurlaube ohne Skifahren oder mit anderen Angeboten. Lob und Anerkennung: 1. Die Grundidee der App ist toll, alle Aspekte (Hotel, Transport, etc.) eines Urlaubs in einer App buchen zu können ist einfach und sorgt für mehr Struktur, ebenfalls, dass man alle Tickets und Infos jederzeit abrufen kann. Einfacher für die Unternehmensanbieter und die Kunden gemeinsam. 2. Es wird eine Branche gefördert die trotz der Klimaerwärmung und der Finanzkrisen noch immer boomt und auch weiterer Ausweitung bedarf. Ich denke diese App hat tolles Potential und freue mich auf die Umsetzung.
",1686046579.0,APPROVED,2023-06-06T09:33:40.290000Z,2023-06-06T10:18:31.397000Z,2023-06-06T10:18:31.889000,2023-06-06T10:18:31.830696Z,2692.0,C4FP4UXH,273.0,"English, German, French",High school diploma/A-levels,25.0,Female,White,Austria,Austria,Austria,German,Yes,Part-Time,2023-06-06T10:16:19.000000Z
1,93.0,G1,"Die Stärke von Alp-Us liegt in der Integration mit anderen Plattformen, die es den Benutzern ermöglicht, ihre Unterkunft, sei es eine Hütte, AirBnB oder ein Hotel, problemlos zu buchen. Darüber hinaus bietet die App Empfehlungen für Restaurants und ermöglicht es den Benutzern, ihre Mahlzeiten im Voraus zu planen. Dies führt zu einem nahtlosen und gut organisierten Erlebnis für alles umgesetzt.       Allerdings gibt es Bedenken hinsichtlich der Rentabilität der App, da sie möglicherweise nur während der Wintersaison genutzt wird. Um dieses Problem anzugehen, sollte Alp-Us seine Funktionalität erweitern, um auch andere Arten von Reisen abzudecken. Indem die App die Möglichkeit bietet, verschiedene Outdoor-Aktivitäten wie Wanderungen, Klettertouren oder Campingausflüge organisieren, kann sie das ganze Jahr über genutzt werden. Dadurch könnte Alp-Us seine Benutzerbasis erweitern und die Profitabilität steigern.                                                            Zusammenfassend lässt sich sagen, dass Alp-Us eine vielversprechende App zur Organisation vor Skiurlauben mit Freunden , oder Familien, ist. Durch die Integration mit anderen Plattformen erleichtert sie die Buchung von Unterkünften und die Planung von Mahlzeiten. Um jedoch langfristig profitabel zu sein, sollte Alp-Us seine Reichweite erweitern und auch andere Arten von Reisen abdecken. Indem die App das ganze Jahr über genutzt werden kann, könnte Alp-Us zu einem unverzichtbaren Werkzeug für die Organisation verschiedenster Gruppenreisen werden.
",1686046911.0,APPROVED,2023-06-06T09:56:29.012000Z,2023-06-06T10:23:20.685000Z,2023-06-06T10:23:21.185000,2023-06-06T10:23:21.099821Z,1612.0,C4FP4UXH,65.0,"English, German, Spanish",High school diploma/A-levels,24.0,Female,Other,Mexico,Spain,Mexico,Spanish,Yes,Unemployed (and job seeking),2023-06-06T10:21:51.000000Z
2,118.0,G1,"Als Erstes muss ich sagen dass ich den Namen super finde - ich habe vielleicht wenige Sekunden gebraucht, um es zu checken, aber ab dem zweiten Blick ist es ein wirklich passender Name. Das Logo was auch OK, wobei es weniger in meiner Erinnerung blieb. Ich finde die Geschäftsidee toll, obwohl ich selbst nicht zu der Zielgruppe gehöre. Ich habe aber Freunde die gerne Skiausflüge machen, und ich beneide die Organisatoren nicht! Ich finde, das Modell ist ziemlich stark - es werden Präferenzen von einzelnen Freunden abgefragt, und auf der Basis Optionen vorgeschlagen. Weil die App von dem Kaufen der Leistungen finanziell abhängig ist, vermute ich, dass die Optionsvorschläge sorgfältig ausgewählt werden, damit sie überzeugen und die Gruppe auch wirklich über die App alles bucht. Was ich vielleicht noch mit einbauen würde ist Wetterinfo, und dann vielleicht sowas wie ein Planungstool, damit Teilnehmer entscheiden was an gewissen Tagen unternommen wird. Vielleicht gibt es einen Ruhetag, dann kann man ins Spa, und die App könnte solche Planung unterstützen in dem man wählen kann, was an welchem Tag gemacht wird - oder sogar welche Pisten gefahren werden sollen. Es wurde nicht erwähnt, ob das auch mit dabei ist, aber Karte von Resorts und Pistenübersicht finde ich wichtig, vor allem falls die Skierfahrungen oder -fähigkeiten sich innerhalb der Reisegruppe unterscheiden. Ich frag mich, ob diese App was kostet für die Endnutzer, und ob die Preise (vom Transport, Hotels etc) wettbewerbsfähig sind im Vergleich zu den anderen Methoden, die man nutzen kann, um das gleiche Ergebnis zu erzielen. Es könnten sich manche ja Hotel in der App aussuchen, aber woanders buchen, und das möchte man sicher nicht. Auch ist mir nicht klar, wie genau die Auswahl der einzelnen Optionen letztendlich funktioniert - was ist, wenn jeweils die Hälfte der Teilnehmer ein anderes Hotel/Restaurant bevorzugt, gibt es in der App eine Möglichkeit, sich einfach zu einigen? Mindestens eine Chatfunktion sollte die App meiner Meinung nach haben, um die automatischen Vorschläge zu besprechen.
",1686047198.0,APPROVED,2023-06-06T10:03:58.295000Z,2023-06-06T10:28:18.720000Z,2023-06-06T10:28:19.208000,2023-06-06T10:28:19.132181Z,1461.0,C4FP4UXH,196.0,"Czech, English, German, Russian, Slovak",Graduate degree (MA/MSc/MPhil/other),42.0,Female,White,Slovakia,United Kingdom,Slovakia,Slovak,No,Full-Time,2023-06-06T10:26:38.000000Z
3,133.0,G1,"Peer Review des Geschäftsmodells von Alp-Us. Das Geschäftsmodell der Alp-Us Company weist sowohl Stärken als auch Schwächen auf, die im Folgenden erläutert werden: Die Stärken des Geschäftsmodells liegen in seinem einzigartigen Angebot, das sich vonder Konkurrenz abhebt und eine differnzierte Positionierung ermöglicht. Dadurch kann die Alp-Us Company eine spezifische Nischenzielgruppe ansprechen. Zudem ist das Geschäftsmodell sehr skalierbar und kann leicht auf andere Märkte ausgedehnt werden, was dem Unterehmen Wachstumschancen eröffnet. Allerdings bestehen auch eine Schwächen. Die Alp-Us Company ist stark von externen Partnern abhängig, was Qualitäts- und Lieferprobleme zur Folge haben kann. Diese Abhängigkeit sollte durch die Diviersifizierung des Lieferantennetwerks verringert wrden, indem zuverlässige Alternativen identifiziert und langfristige Partnerschaften aufgebaut werden. Eine weitere Schwäche des Geschäftsmodells liegt in der begrenzten Zielgruppe. Obwohl die differenzierte Positionierung von Vorteil ist, könnte dies die Wachstumsaussichten einschränken und es schwierig machen, in neuen Mäkrten Fuß zu fassen. Eine mögliche Lösung wäre eine verbesserte Marktsegmentierung, um spezifischere Kundesegmente anzusprechen und das Potenzial für Expansion zu erhöhen. Zusammenfassend lässt sich sagen, dass das Geschäftsmodell der Company über rein einzigartiges Angebot und ein hohe Skalierbarkeit verfügt. Es ist jedoch wichtig, die Abhängigkeit von externen Partnern zu reduzieren und die zielgruppe zu erwetern, um das volle Potenzial des Geschäftsmodells auszuschöpfen. Durch die Diversifizierung des Lieferantennetwerks und eine verbesserte Marktsegmentierung kann die Alp-Us Company ihre Wettbewerbsfähigkeit steigern und zukünftiges Wachstum sicherstellen. Die Company ist auf die rechtzeitige Lieferung zugewiesne, um ihren BEtrieb aufrechtzuerhalten und die Kundenachfrage zu erfüllen. Diese Abhängikgietr birgt das Risiko von Qualitätsproblemen oder Lieferverzögerungen, die sich negativ auf den Ruf des Unternehmens auswirken können. Eine mögliche Lösung zur Minimierung dieser Schwäche könnte in der Diversifizierung der Lieferantenbasis liegen. Durch die Identifizierung und Entwicklung von zuverlässigen Alternativen kann das Unternehmen seine Abhängigkeit von einzelnen Partner reduzieren und eine robusteres Lierferkettenmanagement etablieren. Insgesamt ist das Geschäftsmodell vielversprechend und zukunftssicher.
",1686047312.0,APPROVED,2023-06-06T10:13:25.581000Z,2023-06-06T10:28:41.325000Z,2023-06-08T09:57:11.109000,2023-06-06T10:28:41.774021Z,916.0,NOCODE,17.0,"German, Turkish, English",High school diploma/A-levels,19.0,Female,White,Austria,Austria,Turkey,German,No,Full-Time,2023-06-06T10:28:32.000000Z
4,54.0,G1,"Alp-us ist eine App, mit der Gruppen Skiausflüge organisieren können. Es vereinfacht den Prozess für die Mitglieder der Gruppe, da alle Reservierungen zentral vorgenommen werden können. Darüber hinaus bietet es Vórschläge, die bei der Reservierung hilfreichsein können. Die Teilnehmer der Reise geben ihre Daten und auch ihre Präferenzen (Transport, Unterkunft, Mobilität, usw.) ein. Anschliessend schlägt die App mögliche Reservierungen vor und kontaktiert die verschiedenen Unternehmen, die diese Dienste anbieten können. Leider konnte ich die App noch nicht testen, daher kann ich die Ergebnisse nicht beurteilen, frage mich aber zunächst, ob die Anzahl der Unternehmen, die Dienstleitungen anbieten (also die Breite des Angebots), ausreicht. Die Personengruppe muss einen Gruppenleiter wählen, was mir richtig erscheint, da es die Verawltung sowohl für die Gruppe als auch für die App und die Unternehmen erheblich erleichtert. Darüber hinaus können Personen in der Gruppe, die nicht viel Freizeit haben, an diesen Gruppenleiter delegieren, was ihnen viel Arbeit erspart. Due kurze Erläuterung zur Architektur der Anwendung schien mir unzureichend und sie erscheint mir komplexer als nötig. Ich frage mich, ob Alp-us wirklich einen Vorteil gegenüber den Traditionellen Modell der suche im Internet und der separaten Buchung jeder Dienstleitung (Unterkunft, Transport usw.) bietet. Ich hätte mir auch eine klarere Erklärung zu den Kosten der Appfür die Reisegruppe gewünscht. Est ist eine wesentliche Voraussetzung, um die Benutzerfreundlichkeit von Alp-us beurteilen zu können. Es ist notwendig, die Informationen über Alp-us zu erweitern, um entscheiden zu können, ob Sie es nutzen oder nicht. Einen Ausflug zu buchen (zum Skifahren oder anderswo) ist nicht so einfach wie in den Supermarkt zu gehen und Schokolade zu kaufen. Anschliessend möchte ich sagen, dass die Unfrageanweisungen verwirrend sind, da in Prolific steht, dass die Review ZWISCHEN 250 UND 200 Wörter umfassen muss, während im Tool steht, dass sie MINDESTENDS 300 Wörter umfassen muss. Es handelt sich um inkompatible Anweisungen.
",1686047400.0,APPROVED,2023-06-06T09:46:13.749000Z,2023-06-06T10:31:23.047000Z,2023-06-06T10:31:23.523000,2023-06-06T10:31:23.471280Z,2710.0,C4FP4UXH,874.0,"German, Portuguese, French, Spanish, English",Undergraduate degree (BA/BSc/other),50.0,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time,2023-06-06T10:30:00.000000Z
5,99.0,G1,"Ich finde es toll, dass die Anwendung verschiedene Dienstleister für Unterkunft, Transport, Aktivitäten und Verpflegung hat. Es wird für die Gruppe einfacher sein, ihre Dienstleister auf einen Schlag zu finden. Restaurants sollten jedoch verschiedene Menüs hinzufügen, um Menschen mit Sie sollten auch Kundenbewertungen für die verschiedenen Dienste in der Anwendung abgeben, damit die Leute genau wissen, wie der Ort ist, und nicht überrascht werden. Sie sollten auch einige touristische Sehenswürdigkeiten hinzufügen, damit die Menschen erkunden und auswählen können, wohin sie gehen möchten.unterschiedlichen Essensprioritäten gerecht zu werden. Sie sollten auch ein Bekleidungsgeschäft mit wärmerer Kleidung hinzufügen, da die Leute dazu neigen, sie zu vergessen. Sie sollten sich verbessern, indem sie verschiedene Dienstleister mit unterschiedlichen Dienstleistungen hinzufügen, damit ihr Urlaub nicht so einfach ist. Sie sollten auch mehr Hotels und billigere Dinge hinzufügen, um verschiedene Klassen in der Gesellschaft zu versorgen. Die Anwendung muss farbenfroh sein und Spaß machen, damit es nicht langweilig wird, in der Anwendung herumzuspielen.  Es sollte auch einfach zu bedienen sein, da einige Leute Schwierigkeiten haben, in Anwendungen zu navigieren. Sie sollten auch Optionen für Flugreservierungen und Krankenhäuser im Falle von Verletzungen hinzufügen. Die Anwendung sollte auch dann verwendet werden, wenn Sie im Notfall keinen Internetzugang haben oder die Anwendung verwenden möchten, aber kein Dienst in der Nähe ist.  Sie sollten auch einige touristische Sehenswürdigkeiten hinzufügen, damit die Menschen erkunden und auswählen können, wohin sie gehen möchten.  Sie sollten auch ein Bekleidungsgeschäft mit wärmerer Kleidung hinzufügen, da die Leute dazu neigen, sie zu vergessen. Insgesamt liebe ich die Anwendung.h
",1686047419.0,APPROVED,2023-06-06T09:48:24.966000Z,2023-06-06T10:31:31.111000Z,2023-06-06T10:31:33.252000,2023-06-06T10:31:33.272199Z,2587.0,C4FP4UXH,722.0,"English, French, German, Portuguese, Swahili, Other",Graduate degree (MA/MSc/MPhil/other),34.0,Male,Mixed,Zimbabwe,South Africa,Zimbabwe,English,Yes,Full-Time,2023-06-06T10:30:19.000000Z
6,109.0,G1,"Stärken : Das Geschäftsmodell zeigt eine klare Vision und Zielsetzung. Es ist Innovative . Die Innovationskraft des Projekts ist beeindruckend und bietet einzigartig Lösung . Neue mit dem aktuellen Marktbedarf . Verschiedene Optionen für das Kunden . Alles in allem denke ich , dass die Idee neu ist . Die Lösung ist einzigartig und interessant und wird den Kunden zugute kommen . Wenn ich eine Wanderung für mich oder meine Familie oder Freunde planen würde , würde ich dieses Tool auf jeden Fall ausprobieren und weiter empfehle .  Schwächen : Die Risikobewertung und Marktanalyse fehlen hier . Ich habe keine Ahnung über andere Probleme . Aber ich habe ein paar verbesserung vorschlage und Ideen . Meiner Meinung nach der tool ist hier : Der Bedarf an diesem Tool ist noch nicht 100 % klar . Wer wird es nutzen ? Ich meine , wie werden Sie die ziel gruppe finden ? und wer wird Ihre Zielgruppe sein ? Wie viel Bevölkerung wird dieses Tool nutzen ? Wie hoch ist die Kapitel Investment ? Diese Fragen müssen so bald wie möglich beantwortet werden , um den Bedarf , den Bedarf , den Gewinn und den Erfolg zu verstehen . Ausserdem wird es empfohlen, eine Bewertung in das Tool zu schreiben , um seine / Ihre Erfahrungen mitzuteilen und das Vertrauen der Leute in das Tool zu stärken . Es sollte ein kleines Bild präsentier werden , das die Prozess schritte und Buchung Informationen zeigt , damit man Interesse und Vertrauen in das Produkt bekommt . Viel Glück : )
",1686047444.0,APPROVED,2023-06-06T09:54:54.324000Z,2023-06-06T10:31:42.119000Z,2023-06-06T10:31:45.265000Z,2023-06-06T10:31:47.806011Z,2208.0,C4FP4UXH,241.0,"English, German, Hindi",Graduate degree (MA/MSc/MPhil/other),27.0,Male,Asian,India,Germany,India,Hindi,No,Full-Time,2023-06-06T10:30:44.000000Z
7,142.0,G1,"Alp-Us ist ein Tool für die Organisation eines Skitrips mit Freunden. Planen und Organisieren in Alp-Us ist sehr simpel. Sie haben die Möglichkeit, durch einen Gruppenleader persönliche Gruppen zu erstellen. Über einen Link registrieren sich alle Teilnehmerinnen und Teilnehmer und geben direkt an, welche Skigebiete sie bevorzugen, in welchen Zeiträumen Sie verfügbar sind oder wie mobil sie sind. Das bildet die optimale Grundlage für automatisierte Buchungsmodule. Alp-Us erstellt anhand dieser Daten Vorschläge für Transport, Skigebiet, Unterkunft und Gastronomie für den gesamten Skitrip. Eine Buchung kann direkt in der App durch den jeweiligen Gruppenleiter durchgeführt werden. Buchen Sie also direkt in der App Ihren Transport von Ihrem Startpunkt zum Skigebiet. Für das Skigebiet lassen sich alle notwendigen Tagespässe am gleichen Ort bestellen. Die Übernachtung kann durch Schnittstellen zu Airbnb und ausgewählten Hotels direkt im Anschluss gebucht werden. Auch Restaurants auf und neben der Skipiste sind direkt an die App angebunden, wodurch Tische reserviert werden können, ohne ein lästiges Telefonat führen zu müssen. Eine komplette Buchung aller Segmente ist aber nicht notwendig. Buchen Sie nur das, wovon Sie überzeugt sind. Den Rest können Sie selbstverständlich auch außerhalb der App buchen. Wenn Sie also zum Beispiel mit dem eigenen Auto anreisen wollen und Alp-Us die Bahn als Transportmittel vorschlägt, können Sie diesen Schritt auch ganz einfach überspringen. Tickets können somit zentral gebucht und durch die Telefone der Teilnehmer zu jeder Zeit abgerufen werden. Alles in allem eine gelungene App. Für einen Skitrip mit den Freunden, der Familie oder den Arbeitskollegen ist es nicht mehr notwendig, viele Emaisl oder Telefonate zur Abstimmung der einzelnen Mitglieder zu führen. Einziger Kritikpunkt: Man bekommt in der App natürlich nur die Restaurants und Hotels vorgeschlagen, die mit Alp-Us kooperieren. Hier fehlt ein detaillierter Vergleich wie auf Unabhängigen Buchungsportalen oder, ganz klassisch, über die Google Suche. Dennoch ein gelungenes Produkt.
",1686047685.0,APPROVED,2023-06-06T10:01:36.891000Z,2023-06-06T10:35:06.071000Z,2023-06-06T10:35:07.862000,2023-06-06T10:35:07.748273Z,2010.0,C4FP4UXH,21.0,"English, German",High school diploma/A-levels,27.0,Female,White,Germany,Germany,Germany,German,No,Full-Time,2023-06-06T10:34:45.000000Z
8,100.0,G1,"Die hier vorgestellte Geschäftsmodell ""ALP-US"" ermöglicht ein optimales Matching zwischen Ski-Angeboten in den Bereichen Transport, Gastronomie, Unterkünften und Skigebieten mit Ski-begeisterten User*innen. Die Nutzung der App erfolgt schnell und einfach nach Einladung durch Link und bei der Registrierung werden bereits alle notwendigen Informationen für das gewünschte Ski-Erlebnis der User*innen abgefragt. Diese erste Abfrage von Informationen kann das Urlaubs-Erlebnis deutlich erleichtern:  Die individuellen Wünsche werden notiert, keine stundenlangen Diskussionen sind notwendig. Auf der Basis dieser Informationen erfolgen dann von der App generierte Vorschläge. Hier ist besonders hervorzuheben, dass die Vorschläge nicht im Gesamtpaket gebucht werden müssen; es ist auch möglich, nur Teilbuchungen vorzunehmen, und z.B. Transport oder Unterkunft selbst zu buchen. Nach der Buchung können die bestellten Tickets direkt in der App abgerufen werden. Dadurch optimiert die App das Ski-Erlebnis deutlich: Die App bietet einen zentralen Sammelort für eine Vielzahl an Tickets - die User*innen benötigen dadurch nur die ""ALP-US"" App, um alle Buchungen direkt einsehen und vorzeigen zu können. Die App weist aber nicht nur viele positive Eigenschaften für die Endnutzer*innen auf, es sind auch eine Vielzahl an Vorzügen für Hotels, Restaurants, Skianlagen und vielen anderen Unternehmen zu vermerken. Es ist möglich, Werbeeinschaltungen und spezifische Angebote oder Premien für die Nutzer*innen zu schalten, von denen letztendlich sowohl die Urlaubenden als auch die Unternehmer*innen profitieren. Die App schaltet gewisse Gebühren, ist es letztendlich jedoch noch nicht komplett ersichtlich, in welcher Höhe diese Gebühren ausfallen und wie diese bestimmt werden. Es wurde nicht vermerkt, wer diese Gebühren letztendlich trägt: Der*die Endnutzer*in oder das Unternehmen? Ist die App kostenpflichtig oder frei verfügbar? Weitere Details dazu sind wünschenswert. Zudem wirbt die App damit, sowohl für Freundeskreise als auch Familien- oder Unternehmensausflüge geeignet zu sein. Es wäre vorteilshaft, hier noch vorzuheben, inwiefern diese unterschiedlichen Interessen und Eigenschaften in den von der App generierten Vorschlägen zu Gelte kommen und sich unterscheiden. Letztendlich scheint das vorgestellte Geschäftsmodell jedoch eine sehr gute Investition mit vielversprechenden Abgaben. 
",1686047703.0,APPROVED,2023-06-06T10:10:41.711000Z,2023-06-06T10:35:55.669000Z,2023-06-06T10:35:56.147000,2023-06-06T10:35:56.070391Z,1514.0,C4FP4UXH,509.0,"German, English",Graduate degree (MA/MSc/MPhil/other),30.0,Female,White,Germany,Germany,Germany,German,No,Unemployed (and job seeking),2023-06-06T10:35:03.000000Z
9,97.0,G1,"Das Video zum Pitch von Alp-Up ist sehr informationsreich. Die Menschen wollen wieder mehr auf Urlaub fahren, jedoch ist der Planungsprozess ein hoher Aufwand den sich viele erleichtern wollen würden. Daher ist das Thema derzeit relevant und die App könnte auf viel positives Feedback stoßen. Der Aufbau des Videos, indem zuerst die App erklärt wurde und anschließend auf das Business Model eingegangen wird ist gut strukturiert und leicht folgebar. Die sprechende Stimme ist sehr angenehm und man kann alle Informationen gut verstehen. Jedoch war meiner Meinung nach zu wenige visuelle Eindrücke. Die erste 20 Sekunden passieren auf den Folien keine Änderungen. Auch durch das ganze Video sind auf den Folien relativ wenige Informationen. Für die Überarbeitung des Videos hätte ich einige Verbesserungsvorschläge. Einerseits sollte mehr auf den Folien passieren, sodass man nicht gelangweilt wird. Da würde ich vorschlagen Bildschirmfotos von einem Prototypen der App zu zeigen, damit sich die Zuschauenden besser vorstellen können wie die App genutzt werden kann. Zu Beginn des Videos könnten Beispielsweise Bilder der Alpen oder eine Freundesgruppe gezeigt werden, damit man sich auch weiterhin auf die Folien schaut. Ein weiterer Vorschlag ist etwas genauer auf das Business Model eingehen. Dabei könnte es für die Investoren relevant sein wieviel Geld von ihnen benötigt wird und wie ihr mit der App Geld generieren wollt. Beispielsweise könnte dafür ein Business Model Canvas erstellt werden, da dieses sehr übersichtlich ist. An Hand so eines Modells fällt es auch den Investoren leichter euer Modell mit dem eines anderen zu vergleichen, falls dies notwendig ist. Ein weiterer Vorschlag wäre den Namen Alp-Up zu erklären, falls dieser eine Bedeutung hat. 
",1686047788.0,APPROVED,2023-06-06T09:51:47.372000Z,2023-06-06T10:37:24.343000Z,2023-06-06T10:37:25.826000,2023-06-06T10:37:25.738956Z,2737.0,C4FP4UXH,43.0,"English, German",Undergraduate degree (BA/BSc/other),24.0,Female,White,Austria,Austria,Austria,German,Yes,Unemployed (and job seeking),2023-06-06T10:36:28.000000Z
